# section: strategy
name,Daytrade Edge 10m Div v1
market,KRW-BTC
timeframe,10m
stop_loss_pct,0.8
take_profit_pct,2.5
indicators,"rsi14(rsi, signal_period=9, signal_type=EMA, period=14), bb20(bollinger_bands, period=20, multiplier=2.0)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
2026-07-10 08:20:00 UTC,sell
2026-07-10 08:30:00 UTC,sell
2026-07-10 21:40:00 UTC,sell
2026-07-11 06:30:00 UTC,sell
2026-07-11 08:20:00 UTC,sell
2026-07-11 08:50:00 UTC,sell
2026-07-11 13:50:00 UTC,sell
2026-07-11 14:00:00 UTC,sell
2026-07-11 14:10:00 UTC,sell
2026-07-11 14:20:00 UTC,sell
2026-07-11 14:30:00 UTC,sell
2026-07-11 14:40:00 UTC,sell
2026-07-11 22:10:00 UTC,sell
2026-07-12 00:00:00 UTC,buy
2026-07-12 00:10:00 UTC,buy
2026-07-12 08:10:00 UTC,sell
2026-07-12 12:20:00 UTC,sell
2026-07-12 14:50:00 UTC,sell
2026-07-12 20:00:00 UTC,sell
2026-07-13 08:50:00 UTC,sell
2026-07-13 09:00:00 UTC,sell
2026-07-14 01:00:00 UTC,sell
2026-07-14 09:00:00 UTC,sell
2026-07-14 10:50:00 UTC,sell
2026-07-14 11:30:00 UTC,sell
2026-07-14 12:40:00 UTC,sell
2026-07-14 12:50:00 UTC,sell
2026-07-14 13:00:00 UTC,sell
2026-07-14 15:40:00 UTC,sell
2026-07-14 15:50:00 UTC,sell
2026-07-14 21:20:00 UTC,sell
2026-07-14 21:40:00 UTC,sell
2026-07-14 21:50:00 UTC,sell
2026-07-14 22:30:00 UTC,sell
2026-07-15 06:10:00 UTC,sell
2026-07-15 06:20:00 UTC,sell
2026-07-15 06:40:00 UTC,sell
2026-07-15 12:40:00 UTC,sell
2026-07-15 12:50:00 UTC,sell
2026-07-15 13:00:00 UTC,sell
2026-07-15 13:10:00 UTC,sell
2026-07-15 13:20:00 UTC,sell
2026-07-16 00:20:00 UTC,buy
2026-07-16 05:20:00 UTC,sell
2026-07-16 05:30:00 UTC,sell
2026-07-16 05:40:00 UTC,sell
2026-07-16 05:50:00 UTC,sell
2026-07-16 13:40:00 UTC,sell
2026-07-16 14:00:00 UTC,sell
2026-07-16 14:10:00 UTC,sell
2026-07-16 14:20:00 UTC,sell
2026-07-16 14:30:00 UTC,sell
2026-07-17 02:40:00 UTC,buy
2026-07-17 09:50:00 UTC,sell
2026-07-17 10:10:00 UTC,sell
2026-07-17 10:20:00 UTC,sell
2026-07-17 10:50:00 UTC,sell
2026-07-17 17:10:00 UTC,sell
2026-07-17 17:20:00 UTC,sell
2026-07-17 17:30:00 UTC,sell
2026-07-18 04:10:00 UTC,sell
2026-07-18 08:30:00 UTC,sell
2026-07-18 10:40:00 UTC,sell
2026-07-18 12:00:00 UTC,sell
2026-07-18 12:10:00 UTC,sell
2026-07-18 12:20:00 UTC,sell
2026-07-18 12:40:00 UTC,sell
2026-07-18 12:50:00 UTC,sell
2026-07-18 17:00:00 UTC,sell
2026-07-18 17:20:00 UTC,sell
2026-07-18 17:40:00 UTC,sell
2026-07-18 17:50:00 UTC,sell
2026-07-18 18:00:00 UTC,sell
2026-07-18 20:30:00 UTC,sell
2026-07-18 21:20:00 UTC,sell
2026-07-19 02:40:00 UTC,sell
2026-07-19 07:40:00 UTC,sell
2026-07-19 07:50:00 UTC,sell
2026-07-19 12:50:00 UTC,buy
2026-07-19 15:10:00 UTC,sell
2026-07-19 17:20:00 UTC,sell
2026-07-19 17:30:00 UTC,sell
2026-07-19 22:20:00 UTC,sell
2026-07-19 22:30:00 UTC,sell
2026-07-20 00:10:00 UTC,sell
2026-07-20 00:20:00 UTC,sell
2026-07-20 05:50:00 UTC,buy
2026-07-20 11:40:00 UTC,sell
2026-07-20 11:50:00 UTC,sell
2026-07-20 12:00:00 UTC,sell
2026-07-20 15:50:00 UTC,sell
2026-07-20 16:00:00 UTC,sell
2026-07-21 00:30:00 UTC,sell
2026-07-21 00:40:00 UTC,sell
2026-07-21 00:50:00 UTC,sell
2026-07-21 01:00:00 UTC,sell
2026-07-21 01:10:00 UTC,sell
2026-07-21 05:50:00 UTC,sell
2026-07-21 06:30:00 UTC,sell
2026-07-21 06:40:00 UTC,sell
2026-07-21 07:50:00 UTC,sell
2026-07-21 08:00:00 UTC,sell
2026-07-21 12:30:00 UTC,sell
2026-07-21 12:40:00 UTC,sell
2026-07-21 14:00:00 UTC,sell
2026-07-21 14:10:00 UTC,sell
2026-07-22 00:10:00 UTC,sell
2026-07-22 00:20:00 UTC,sell
2026-07-22 00:30:00 UTC,sell
2026-07-22 16:40:00 UTC,sell
2026-07-22 21:40:00 UTC,sell
2026-07-23 00:10:00 UTC,sell
2026-07-23 00:30:00 UTC,sell
2026-07-23 06:50:00 UTC,sell
2026-07-23 07:50:00 UTC,buy
2026-07-23 12:20:00 UTC,buy
2026-07-23 20:10:00 UTC,sell
2026-07-23 20:20:00 UTC,sell
2026-07-23 20:30:00 UTC,sell
2026-07-23 20:40:00 UTC,sell
2026-07-24 03:20:00 UTC,sell
2026-07-24 03:30:00 UTC,sell
2026-07-24 03:50:00 UTC,sell
2026-07-24 07:10:00 UTC,sell
2026-07-24 07:20:00 UTC,sell
2026-07-24 13:40:00 UTC,buy
2026-07-25 05:10:00 UTC,sell
2026-07-25 13:00:00 UTC,sell
2026-07-25 13:10:00 UTC,sell
2026-07-25 13:50:00 UTC,sell
2026-07-25 18:10:00 UTC,sell
2026-07-25 18:20:00 UTC,sell
2026-07-25 18:30:00 UTC,sell
2026-07-26 00:30:00 UTC,sell
2026-07-26 01:00:00 UTC,sell
2026-07-26 01:10:00 UTC,sell
2026-07-26 09:20:00 UTC,sell
2026-07-26 09:30:00 UTC,sell
2026-07-26 14:10:00 UTC,sell
2026-07-26 14:20:00 UTC,sell
2026-07-26 21:50:00 UTC,sell
2026-07-26 22:10:00 UTC,sell
2026-07-26 22:20:00 UTC,sell
2026-07-26 22:30:00 UTC,sell
2026-07-26 22:40:00 UTC,sell
2026-07-26 22:50:00 UTC,sell
2026-07-27 06:10:00 UTC,sell
2026-07-27 06:20:00 UTC,sell
2026-07-27 06:40:00 UTC,sell
2026-07-27 13:50:00 UTC,sell
2026-07-28 05:10:00 UTC,sell
2026-07-28 05:20:00 UTC,sell
2026-07-28 05:30:00 UTC,sell
2026-07-28 15:50:00 UTC,sell
2026-07-28 20:20:00 UTC,sell
